Type	Factor	Iter	Obj	Obj.diff	Max.chg
backfit	1	1	6236017.67302903	491.873433207162	8.95660750219809e-05
backfit	2	1	6236290.91119137	273.238162337802	-0.000393420981429388
backfit	3	1	6236975.95443489	685.043243524618	-0.00176787817691011
backfit	4	1	6237159.38274843	183.428313536569	0.00087212295058567
backfit	5	1	6237350.07378263	190.69103419967	0.00100433842491718
backfit	6	1	6237693.4159966	343.342213965021	-0.00169532597875729
backfit	7	1	6237857.92644501	164.510448416695	-0.0013997901886087
backfit	8	1	6238105.8618506	247.935405591503	-0.00275895684544078
backfit	9	1	6238313.61792102	207.756070419215	-0.00382026230121563
backfit	10	1	6238473.55580101	159.937879985198	-0.00285312185299735
backfit	11	1	6238619.58484293	146.029041917995	0.00355480611638087
backfit	12	1	6239049.08268047	429.497837546282	-0.00375850536410333
backfit	13	1	6239258.47255282	209.389872345142	0.00232088134007497
backfit	14	1	6239396.95091821	138.478365391493	-0.00354299613663501
backfit	15	1	6239617.23730882	220.286390606314	0.00600015577806165
backfit	16	1	6239792.21024553	174.972936716862	0.00385701544847405
backfit	17	1	6240102.62235622	310.412110689096	-0.00481984823542883
backfit	18	1	6240259.30586512	156.683508898132	0.00665135994609556
backfit	19	1	6240453.39309297	194.08722784929	-0.00676578904118069
backfit	20	1	6240660.83820803	207.445115064271	-0.00526960701082407
backfit	21	1	6241003.15989652	342.321688487194	-0.00487534712261299
backfit	22	1	6241128.92518818	125.765291661955	0.00815012210863653
backfit	23	1	6241223.42792598	94.5027377940714	-0.00710149237009665
backfit	24	1	6241387.59027174	164.162345767953	0.00653209180590206
backfit	25	1	6241478.00783799	90.4175662482157	-0.00455415513272016
backfit	26	1	6241862.82860637	384.820768380538	-0.0160937632519274
backfit	27	1	6241987.43343351	124.604827139527	0.00624405234089882
backfit	28	1	6242112.33564401	124.90221049916	-0.00889777711101425
backfit	29	1	6242334.78863642	222.452992410399	0.0105750668082711
backfit	30	1	6242409.67137775	74.8827413255349	0.0061625281183319
backfit	31	1	6242549.21297513	139.541597386822	-0.0089972013755939
backfit	32	1	6242619.28522101	70.0722458735108	-0.00611201179419482
backfit	33	1	6242696.00635326	76.721132251434	-0.00803616313868144
backfit	34	1	6242788.15986249	92.1535092322156	0.00701196815141278
backfit	35	1	6242867.90899277	79.7491302788258	-0.00779598241409063
backfit	36	1	6242912.06501433	44.1560215586796	0.00622993763347146
backfit	37	1	6242981.0297104	68.9646960757673	-0.00783461632228889
backfit	38	1	6243050.98225872	69.9525483194739	0.00836655304692163
backfit	39	1	6243106.41482012	55.4325613928959	-0.00577917401207453
backfit	40	1	6243272.06579435	165.65097423736	0.0070689116523396
backfit	41	1	6243341.97552118	69.9097268218175	-0.00665981619541303
backfit	42	1	6243378.56379851	36.5882773343474	0.00668475579652017
backfit	43	1	6243438.59055237	60.0267538633198	0.0113212797529804
backfit	44	1	6243493.09283414	54.5022817691788	-0.00514966562203614
backfit	45	1	6243542.05833743	48.9655032847077	-0.00685426125390326
backfit	46	1	6243581.74444507	39.6861076392233	0.00861179199921402
backfit	47	1	6243644.93535841	63.1909133410081	-0.00682635208526752
backfit	48	1	6243681.92147544	36.9861170342192	0.00683438321230288
backfit	49	1	6243716.3935616	34.4720861576498	0.00777800754425472
backfit	50	1	6243755.92280903	39.5292474329472	-0.00419004523271064
backfit	1	2	6243892.75529525	136.832486213185	7.50960848965553e-05
backfit	2	2	6243982.46583686	89.7105416189879	-0.000334756753379351
backfit	3	2	6244396.04823525	413.582398381084	-0.00143500494259766
backfit	4	2	6244490.76274461	94.7145093651488	0.000806219561526094
backfit	5	2	6244598.50933873	107.746594120748	-0.0010194200650083
backfit	6	2	6244814.54904313	216.039704393595	-0.00164972033231965
backfit	7	2	6244917.17712927	102.628086141311	-0.00114939855989483
backfit	8	2	6245089.68873117	172.511601901613	-0.00229824627367913
backfit	9	2	6245225.18733834	135.498607172631	-0.003277854381175
backfit	10	2	6245334.56314888	109.375810536556	-0.00269943062781092
backfit	11	2	6245426.10681427	91.5436653951183	0.00301957855891555
backfit	12	2	6245755.07159916	328.964784884825	-0.00331962352444354
backfit	13	2	6245894.70133817	139.629739012569	0.0022772302586574
backfit	14	2	6245981.38817463	86.6868364587426	0.00267548866084133
backfit	15	2	6246129.38117289	147.992998261005	0.00505223467456643
backfit	16	2	6246254.94004279	125.558869898319	0.00383285441688994
backfit	17	2	6246462.71503749	207.774994698353	-0.00431544800461917
backfit	18	2	6246577.7829348	115.067897309549	0.00647525783976178
backfit	19	2	6246711.83734346	134.054408662952	-0.00646528567818612
backfit	20	2	6246848.16968334	136.332339883782	-0.00454461513661988
backfit	21	2	6247108.06557146	259.895888112485	-0.0044170640502567
backfit	22	2	6247188.24594378	80.1803723247722	0.00605242359932234
backfit	23	2	6247245.83034525	57.5844014743343	-0.00372142851795752
backfit	24	2	6247353.90700216	108.076656906866	0.00533049141272104
backfit	25	2	6247408.61055581	54.7035536505282	-0.00381955246996035
backfit	26	2	6247688.39238289	279.781827080064	-0.0137233024717275
backfit	27	2	6247769.43461507	81.0422321828082	0.00622035051208397
backfit	28	2	6247850.65594846	81.2213333891705	-0.00665631827291679
backfit	29	2	6247990.27695252	139.62100405246	0.00818025223188104
backfit	30	2	6248035.59824568	45.321293162182	-0.00513965371454966
backfit	31	2	6248120.38110259	84.7828569114208	-0.00644696040996656
backfit	32	2	6248160.12085678	39.7397541925311	0.00443771295625354
backfit	33	2	6248208.62301773	48.5021609514952	-0.0063933363516917
backfit	34	2	6248264.47984305	55.8568253135309	0.00544672834957705
backfit	35	2	6248314.12764877	49.6478057252243	-0.0062328160277676
backfit	36	2	6248341.20149815	27.073849381879	0.00551935126275037
backfit	37	2	6248386.43498942	45.2334912605584	-0.00715824221167199
backfit	38	2	6248430.87451475	44.4395253323019	-0.00681979946260523
backfit	39	2	6248460.79696061	29.92244585976	-0.00419404915769367
backfit	40	2	6248571.63142108	110.834460472688	0.00516583241734256
backfit	41	2	6248616.91565325	45.2842321749777	-0.00655657787180109
backfit	42	2	6248636.20941189	19.2937586391345	-0.00478061781093014
backfit	43	2	6248668.58085463	32.3714427379891	0.00812043613881303
backfit	44	2	6248701.07846179	32.4976071547717	0.00778040720141871
backfit	45	2	6248732.36527052	31.2868087319657	0.00710447237923609
backfit	46	2	6248755.87825108	23.5129805607721	0.0062527281725171
backfit	47	2	6248797.24903519	41.370784111321	0.00657118061545352
backfit	48	2	6248821.59550707	24.3464718824252	0.00598552830079974
backfit	49	2	6248844.41796389	22.8224568143487	-0.00403867832707812
backfit	50	2	6248870.99775305	26.5797891672701	-0.00497751884866578
backfit	1	3	6248989.80444757	118.806694512255	6.79848483181346e-05
backfit	2	3	6249063.62307965	73.8186320867389	-0.000300313799317414
backfit	3	3	6249395.66003721	332.036957557313	-0.00116455875198845
backfit	4	3	6249475.8288745	80.1688372856006	0.00101866656946266
backfit	5	3	6249566.14424465	90.3153701508418	0.00090764263408305
backfit	6	3	6249744.15878474	178.01454009302	-0.00163407211043824
backfit	7	3	6249828.5086727	84.3498879605904	-0.00106969236360064
backfit	8	3	6249971.38156222	142.872889522463	-0.00224810546278857
backfit	9	3	6250074.08620311	102.704640885815	-0.00280446238035714
backfit	10	3	6250164.19105471	90.1048515997827	-0.00260677387321523
backfit	11	3	6250234.42339218	70.2323374664411	0.00257293356350874
backfit	12	3	6250522.0982788	287.674886622466	-0.00301261754911491
backfit	13	3	6250629.38132597	107.283047175035	-0.00165504332571249
backfit	14	3	6250690.30052558	60.919199610129	0.00261874904037665
backfit	15	3	6250797.97194799	107.671422407031	0.00407970909867469
backfit	16	3	6250900.86091732	102.888969332911	0.00416175693422122
backfit	17	3	6251060.39009098	159.529173653573	-0.00385585697013816
backfit	18	3	6251150.54136352	90.151272543706	0.00488758158846642
backfit	19	3	6251253.32826348	102.786899955943	-0.00634847923497736
backfit	20	3	6251359.53486191	106.206598429941	0.00383968259149901
backfit	21	3	6251581.93145127	222.3965893602	-0.00413469754050703
backfit	22	3	6251643.7883182	61.8568669315428	0.0048165807215661
backfit	23	3	6251682.34372605	38.5554078491405	-0.00371838108999329
backfit	24	3	6251762.88838468	80.5446586376056	0.00448922787060976
