Type	Factor	Iter	Obj	Obj.diff	Max.chg
backfit	all	1	6241540.42463098	6014.62503516022	-0.0159321616394634
backfit	all	2	6247244.27617536	5703.85154437087	-0.0137425112537396
backfit	all	3	6251617.73079054	4373.45461518504	-0.0120655572887352
backfit	all	4	6255233.18131627	3615.45052572712	-0.0107398350939612
backfit	all	5	6258368.27168715	3135.09037088417	-0.00972386647920342
backfit	all	6	6261180.674355	2812.40266785026	-0.00885495390320903
backfit	all	7	6263767.54062044	2586.8662654357	-0.00817088038799019
backfit	all	8	6266180.84522991	2413.30460947286	-0.00751873437074088
backfit	all	9	6268453.85196023	2273.00673031621	-0.00691371988441947
backfit	all	10	6270625.84541469	2171.99345445819	-0.00684277628595048
backfit	all	11	6272719.86712742	2094.02171273343	-0.00602106036893207
backfit	all	12	6274759.16187927	2039.29475184716	0.00730303761561917
backfit	all	13	6276747.99229133	1988.83041206468	-0.00643406230696528
backfit	all	14	6278680.04823557	1932.05594423972	-0.00717765781423101
backfit	all	15	6280548.58951358	1868.54127800558	-0.00656701701581242
backfit	all	16	6282347.96048613	1799.37097255327	-0.00679204364738638
backfit	all	17	6284093.67530577	1745.71481964551	-0.00697728925491327
backfit	all	18	6285792.02366211	1698.34835633636	-0.00706306028692273
backfit	all	19	6287446.07847376	1654.05481165368	-0.00703858584135066
backfit	all	20	6289041.00338228	1594.92490851413	-0.00686133939478657
backfit	all	21	6290567.17083401	1526.16745172814	-0.00660288214938796
backfit	all	22	6292029.91421098	1462.74337697774	-0.00647192192393763
backfit	all	23	6293415.48933971	1385.57512872852	-0.00618235249618475
backfit	all	24	6294719.79804682	1304.3087071022	-0.00592510609550798
backfit	all	25	6295943.93715854	1224.13911172375	-0.00583408028320219
backfit	all	26	6297100.50637117	1156.56921262946	-0.00558633321881626
backfit	all	27	6298191.3160824	1090.80971123464	-0.00530680120180571
backfit	all	28	6299234.01145837	1042.69537596963	0.0063823812134711
backfit	all	29	6300234.01191579	1000.00045741349	-0.00640208817506095
backfit	all	30	6301198.23759339	964.225677602924	-0.00492607057137477
backfit	all	31	6302134.96596519	936.728371803649	-0.00478556814306249
backfit	all	32	6303063.01287684	928.046911646612	-0.00724810960383614
backfit	all	33	6303978.9760454	915.963168556802	-0.00622845142624893
backfit	all	34	6304886.62614948	907.650104087777	-0.00635427410776627
backfit	all	35	6305791.54745561	904.921306128614	-0.00729637595011205
backfit	all	36	6306678.55496709	887.007511474192	0.00550749511546928
backfit	all	37	6307536.08777627	857.532809186727	-0.00479085849290229
backfit	all	38	6308354.57029878	818.482522505336	0.0046578713746896
backfit	all	39	6309140.8632241	786.292925324291	0.00469989910129992
backfit	all	40	6309898.71453496	757.851310861297	-0.00603893020978827
backfit	all	41	6310630.14810978	731.433574817143	-0.00408153104356207
backfit	all	42	6311356.65723162	726.509121836163	0.00643239531740891
backfit	all	43	6312086.08292867	729.425697055645	-0.00490690181313183
backfit	all	44	6312824.75186764	738.668938971125	0.00611464133275571
backfit	all	45	6313580.11948903	755.367621386424	-0.00397728810169792
backfit	all	46	6314350.20591924	770.086430205964	0.00383666225562507
backfit	all	47	6315118.81022916	768.604309927672	0.00455676279832314
backfit	all	48	6315851.46576256	732.655533395708	0.00458733332008164
backfit	all	49	6316544.73765673	693.271894169971	0.00474728087055827
backfit	all	50	6317241.71282837	696.975171643309	0.00522333503883214
backfit	all	51	6317968.71960986	727.006781486794	-0.00371004212187456
backfit	all	52	6318721.3172074	752.59759754315	-0.00361765169347897
backfit	all	53	6319482.1860173	760.86880989559	0.00354948095610396
backfit	all	54	6320211.64849207	729.462474775501	-0.003507751109611
backfit	all	55	6320895.72188658	684.073394504376	-0.0048004892035481
backfit	all	56	6321583.24834421	687.526457634754	0.00460554953717736
backfit	all	57	6322252.81572675	669.567382536829	0.00347017454776301
backfit	all	58	6322886.77874241	633.96301565785	0.00357629624241967
backfit	all	59	6323474.3065295	587.527787095867	-0.00400196928817031
backfit	all	60	6324014.35596099	540.049431486987	0.00400948843981481
backfit	all	61	6324497.45864155	483.102680560201	-0.00466181161380087
backfit	all	62	6324928.38798235	430.929340798408	-0.00439688965317642
backfit	all	63	6325316.96784014	388.579857789911	-0.00341494893519945
backfit	all	64	6325673.98380058	357.015960439108	-0.00349652652384823
backfit	all	65	6326012.78347335	338.799672770314	0.00430198257866492
backfit	all	66	6326339.28822406	326.504750713706	0.00324756704074512
backfit	all	67	6326657.78217279	318.493948724121	-0.00455244109876255
backfit	all	68	6326971.90177148	314.119598695077	-0.00525039846725056
backfit	all	69	6327279.35812194	307.456350454129	0.00365532020019565
backfit	all	70	6327582.36915527	303.011033336632	0.00320872044586006
backfit	all	71	6327884.02338787	301.654232599773	-0.00498636390422019
