Type    Factor  Iter    Obj     Obj.diff        Max.chg
backfit all     1       182405802.614954        8986.06232142448        0.00223525380209057
backfit all     2       182411801.907971        5999.29301685095        -0.00300502726538399
backfit all     3       182416910.218582        5108.31061172485        -0.00262956939780074
backfit all     4       182421397.61195 4487.39336723089        -0.00226948117290585
backfit all     5       182425435.19985 4037.58790022135        -0.00195326601076487
backfit all     6       182429148.029843        3712.82999312878        -0.00208734160896771
backfit all     7       182432601.766684        3453.73684108257        0.00205701203673454
backfit all     8       182435854.374832        3252.60814806819        0.00208738339936615
backfit all     9       182438958.134139        3103.75930652022        0.00211015477998273
backfit all     10      182441957.609344        2999.47520533204        0.00212591525900586
backfit all     11      182444871.626889        2914.01754462719        0.00213971965128899
backfit all     12      182447708.496677        2836.86978858709        0.00214988794581156
backfit all     13      182450483.462521        2774.9658434391 0.0021536456376241
backfit all     14      182453211.45251 2727.98998969793        0.00215387230792219
backfit all     15      182455898.635359        2687.18284857273        0.00215705008939143
backfit all     16      182458545.285078        2646.6497194767 0.00216536910241989
backfit all     17      182461145.832263        2600.54718509316        0.00216809254104256
backfit all     18      182463709.781541        2563.94927719235        0.00215447162013279
backfit all     19      182466243.266028        2533.48448708653        0.0021174847784116
backfit all     20      182468756.800594        2513.53456634283        0.00217011553093529
backfit all     21      182471248.499464        2491.69887030125        0.00207913840139231
backfit all     22      182473721.764757        2473.26529228687        0.00208440169331431
backfit all     23      182476186.513785        2464.74902826548        0.00209046300896965
backfit all     24      182478649.160577        2462.64679160714        0.00210024207891477
backfit all     25      182481108.853449        2459.69287282228        0.0021072566604332
backfit all     26      182483577.441825        2468.58837524056        0.00212404087849044
backfit all     27      182486059.210465        2481.76864010096        0.00215567623049567
backfit all     28      182488550.552668        2491.34220331907        0.00219320588267169
backfit all     29      182491065.526599        2514.97393080592        0.00221370681849882
backfit all     30      182493600.366801        2534.84020185471        0.00219838243386879
backfit all     31      182496152.431198        2552.06439757347        0.00214890966807756
backfit all     32      182498730.257608        2577.82640990615        0.00210866660547529
backfit all     33      182501336.111721        2605.85411268473        0.0033481124761669
backfit all     34      182503953.716479        2617.60475820303        0.00199667940336949
backfit all     35      182506598.651188        2644.93470931053        0.00201101894380974
backfit all     36      182509286.075518        2687.42433011532        0.00203258769013127
backfit all     37      182512023.789806        2737.71428766847        0.00209573265675737
backfit all     38      182514808.605413        2784.8156068325 0.00204767300795326
backfit all     39      182517642.827295        2834.22188201547        0.00206323553660949
backfit all     40      182520525.149525        2882.32222962379        0.00207195703692595
backfit all     41      182523456.915579        2931.76605477929        0.00207557859574718
backfit all     42      182526436.765334        2979.8497543633 0.00207849698568845
backfit all     43      182529466.641582        3029.87624818087        -0.00207191745927642
backfit all     44      182532543.903236        3077.26165419817        -0.00212406144629079
backfit all     45      182535666.034108        3122.13087180257        -0.0021441784635565
backfit all     46      182538812.968163        3146.93405523896        -0.0021362659237163
backfit all     47      182541984.343302        3171.37513905764        -0.00210133898805925
backfit all     48      182545182.828124        3198.4848216176 -0.00215946387303298
backfit all     49      182548428.233106        3245.40498220921        -0.0022753948186843
backfit all     50      182551720.526073        3292.29296645522        -0.00244261787034589
backfit all     51      182555064.859747        3344.33367413282        -0.00260013720076122
backfit all     52      182558458.614046        3393.75429973006        -0.00275223086866272
backfit all     53      182561886.147533        3427.53348621726        -0.00288715690220187
backfit all     54      182565310.438645        3424.29111254215        -0.00300719228211413
backfit all     55      182568713.781218        3403.34257242084        -0.00310294784338061
backfit all     56      182572081.08655 3367.30533280969        -0.00317740497815064
backfit all     57      182575392.181463        3311.09491226077        -0.00322528228605859
backfit all     58      182578635.562933        3243.38146993518        -0.00326350901593536
backfit all     59      182581804.516662        3168.95372933149        -0.00329468255576493
backfit all     60      182584897.2456  3092.72893810272        -0.00331002488336207
backfit all     61      182587907.355374        3010.10977396369        -0.00333622985091492
backfit all     62      182590847.091831        2939.73645687103        -0.00332012897687764
backfit all     63      182593713.332037        2866.24020659924        -0.0033200461780111
backfit all     64      182596528.573557        2815.24151995778        -0.00333081830310314
backfit all     65      182599292.176612        2763.60305461287        -0.00332441054627483
backfit all     66      182602011.474153        2719.29754132032        -0.00333059807595341
backfit all     67      182604691.994015        2680.51986131072        -0.00334276031309497
backfit all     68      182607337.652901        2645.65888595581        -0.00327772269927171
backfit all     69      182609942.483655        2604.83075398207        -0.00320355120199799
backfit all     70      182612511.780898        2569.29724365473        -0.00310920001928464
backfit all     71      182615051.591516        2539.81061729789        -0.00303256964715007
backfit all     72      182617561.771632        2510.18011659384        -0.00298069705415162
backfit all     73      182620048.034034        2486.26240164042        -0.00293739593708729
backfit all     74      182622516.194993        2468.16095912457        -0.00291328718220812
backfit all     75      182624963.557749        2447.36275625229        -0.0028916153696133
backfit all     76      182627390.470154        2426.9124045074 -0.00282849734649486
backfit all     77      182629801.491883        2411.02172961831        -0.00279334629655467
backfit all     78      182632200.565443        2399.07355985045        -0.00272938810900648
backfit all     79      182634593.003594        2392.43815100193        -0.00264562616370971
backfit all     80      182636979.444508        2386.44091400504        -0.00258965208288529
backfit all     81      182639350.034661        2370.59015250206        -0.0025133617677571
backfit all     82      182641701.662436        2351.62777560949        -0.00242415957796688
backfit all     83      182644030.262408        2328.59997186065        -0.00233511032731784
backfit all     84      182646336.310333        2306.04792499542        -0.00228509004569707
backfit all     85      182648624.438919        2288.12858593464        -0.00225467540703164
backfit all     86      182650897.579516        2273.1405967474 -0.00224560781731907
backfit all     87      182653145.70566 2248.12614455819        -0.00225456581875651
backfit all     88      182655358.783738        2213.07807812095        -0.00222569557321212
backfit all     89      182657547.476582        2188.69284361601        -0.00215766975154264
backfit all     90      182659719.887136        2172.41055348516        -0.00209492937506795
backfit all     91      182661876.780935        2156.89379939437        -0.00206044059770416
backfit all     92      182664010.956489        2134.17555367947        -0.00204128538830014
backfit all     93      182666123.157465        2112.20097586513        0.00219914700958371
backfit all     94      182668202.108034        2078.95056962967        -0.00192015688128079
backfit all     95      182670249.038579        2046.93054485321        -0.00185206226605204
backfit all     96      182672270.277266        2021.23868724704        -0.0017923150875184
backfit all     97      182674271.823992        2001.5467261672 -0.00175746271764517
backfit all     98      182676253.38335 1981.55935800076        -0.001731299406973
backfit all     99      182678192.167698        1938.78434717655        -0.00169967190386902
backfit all     100     182680102.879697        1910.71199917793        -0.00162796466095051
backfit all     101     182681993.130242        1890.25054523349        -0.00156641754687686
backfit all     102     182683866.231107        1873.10086473823        -0.00150810414967154
backfit all     103     182685716.271931        1850.04082417488        0.00166277100364441
backfit all     104     182687543.408732        1827.13680094481        0.00142534460539415
backfit all     105     182689344.948485        1801.53975310922        0.00142912993445386
backfit all     106     182691122.218379        1777.26989451051        0.00140537694096815
backfit all     107     182692872.688943        1750.47056362033        0.00136929119743387
backfit all     108     182694593.254177        1720.56523358822        0.00163736794496723
backfit all     109     182696272.73397 1679.479793787  0.00131275871062641
backfit all     110     182697917.456482        1644.72251150012        0.00129827000307934
backfit all     111     182699518.61755 1601.16106760502        0.00129857689371544
backfit all     112     182701068.859143        1550.24159380794        0.00135476133133088
