Type	Factor	Iter	Obj	Obj.diff	Max.chg
backfit	1	1	182398206.314269	1389.76163643599	1.89120306787055e-05
backfit	2	1	182398901.425681	695.111412107944	8.7241786097203e-05
backfit	3	1	182399663.877798	762.452116638422	0.000281483500461886
backfit	4	1	182400092.086625	428.208827108145	0.000161746465182536
backfit	5	1	182400484.944105	392.857480347157	-0.000263026961381765
backfit	6	1	182400785.589819	300.645714074373	0.000394252557846884
backfit	7	1	182401025.699719	240.109899938107	0.000365052459887549
backfit	8	1	182401262.283554	236.583835303783	-0.00043143580928437
backfit	9	1	182401602.882333	340.598778605461	0.000412572309938505
backfit	10	1	182401803.757659	200.875325649977	0.00111756077179243
backfit	11	1	182401970.267256	166.509597510099	-0.000544960939198119
backfit	12	1	182402094.754513	124.487256646156	0.000595579872697233
backfit	13	1	182402484.467666	389.713153123856	-0.000452545418395718
backfit	14	1	182402694.142819	209.675152659416	0.00091561477618321
backfit	15	1	182402853.971839	159.829020947218	-0.000625693781319686
backfit	16	1	182403020.766508	166.794668525457	-0.000963439482356082
backfit	17	1	182403164.068851	143.302343189716	0.000963496922393323
backfit	18	1	182403422.119381	258.050530105829	-0.00206505048591404
backfit	19	1	182403850.415955	428.296573549509	0.00173186740196002
backfit	20	1	182403960.927823	110.511867761612	0.00120211283559288
backfit	21	1	182404210.167555	249.2397326231	0.00161295506303582
backfit	22	1	182404309.623398	99.45584243536	-0.000911598964360549
backfit	23	1	182404407.487912	97.8645140826702	0.00124862014415196
backfit	24	1	182404502.745216	95.2573043704033	-0.00129936878531062
backfit	25	1	182404623.399017	120.653800964355	-0.00224312867486937
backfit	26	1	182404758.290931	134.891914188862	0.00150260351992923
backfit	27	1	182404948.997407	190.70647585392	-0.00159598125271843
backfit	28	1	182405075.359569	126.362161755562	0.00186984887180969
backfit	29	1	182405357.832561	282.472991973162	0.0016818947872086
backfit	30	1	182405442.589819	84.757257848978	-0.00147678042038353
backfit	31	1	182405636.495981	193.906162500381	0.00184220994588391
backfit	32	1	182405712.482267	75.9862862229347	-0.00126551298023106
backfit	33	1	182405801.621155	89.1388873457909	0.00132404746797842
backfit	34	1	182405895.164701	93.5435463786125	-0.00173727327892434
backfit	35	1	182406038.367738	143.203036695719	-0.00161507345992393
backfit	36	1	182406233.476411	195.108673214912	-0.00194240887996205
backfit	37	1	182406342.593588	109.117176860571	0.00205556982040145
backfit	38	1	182406456.667828	114.074240297079	0.00202437122864503
backfit	39	1	182406531.350092	74.682264238596	0.00129211282983851
backfit	40	1	182406611.266894	79.9168016314507	-0.00203980473065754
backfit	41	1	182406669.337122	58.0702279806137	0.00185545196166792
backfit	42	1	182406739.523835	70.1867130100727	0.00145395990371328
backfit	43	1	182406838.557835	99.0340002179146	0.00199633408613209
backfit	44	1	182407058.812222	220.254386305809	-0.00233824607281521
backfit	45	1	182407181.779338	122.967116504908	0.00279206788091165
backfit	46	1	182407280.82726	99.0479218959808	-0.00307048888390724
backfit	47	1	182407371.186948	90.3596879839897	0.00235026519892617
backfit	48	1	182407462.905575	91.7186269164085	-0.00183837578037255
backfit	49	1	182407603.089391	140.183816164732	-0.00135993236113213
backfit	50	1	182407673.149675	70.0602840185165	0.00238194336268299
backfit	1	2	182407737.289118	64.1394431293011	1.77128760577572e-05
backfit	2	2	182407802.841415	65.5522964000702	7.6488685572168e-05
backfit	3	2	182408091.736634	288.895218878984	0.000259781918489632
